ZipCode,City,State,Latitude,Longitude,Classification,Population
77065,HOUSTON,TX,29.9215,-95.6094,,37144
77066,HOUSTON,TX,29.9626,-95.4994,,34443
77067,HOUSTON,TX,29.9519,-95.4475,,31729
77068,HOUSTON,TX,30.0062,-95.4879,,11764
77069,HOUSTON,TX,29.9864,-95.5259,,19299
77070,HOUSTON,TX,29.9778,-95.5756,,52943
77071,HOUSTON,TX,29.6511,-95.5224,,26949
77072,HOUSTON,TX,29.7006,-95.5857,,56271
77073,HOUSTON,TX,30.0028,-95.3941,,46071
77074,HOUSTON,TX,29.6898,-95.5266,,40199
77075,HOUSTON,TX,29.6234,-95.2636,,38873
77076,HOUSTON,TX,29.8605,-95.3833,,32349
77077,HOUSTON,TX,29.755,-95.6095,,61302
77078,HOUSTON,TX,29.8514,-95.2587,,14855
77079,HOUSTON,TX,29.775,-95.6019,,36404
77080,HOUSTON,TX,29.8139,-95.5196,,45428
77081,HOUSTON,TX,29.7084,-95.4752,,48293
77082,HOUSTON,TX,29.722,-95.6319,,57493
77083,HOUSTON,TX,29.6916,-95.6512,,73763
77084,HOUSTON,TX,29.8326,-95.6482,,109808
77085,HOUSTON,TX,29.6258,-95.492,,17785
77086,HOUSTON,TX,29.9218,-95.4946,,29366
77087,HOUSTON,TX,29.6858,-95.2998,,34654
77088,HOUSTON,TX,29.8814,-95.4544,,54320
77089,HOUSTON,TX,29.5885,-95.2254,,56994
77090,HOUSTON,TX,30.0018,-95.4474,,42285
77091,HOUSTON,TX,29.8554,-95.4448,,28020
77092,HOUSTON,TX,29.8301,-95.4675,,34903
77093,HOUSTON,TX,29.8574,-95.3381,,47736
77094,HOUSTON,TX,29.7726,-95.6882,,11150
77095,HOUSTON,TX,29.9145,-95.6531,,71206
77096,HOUSTON,TX,29.6736,-95.4777,,34510
77098,HOUSTON,TX,29.7344,-95.4159,,15717
77099,HOUSTON,TX,29.6689,-95.5876,,49849
77201,HOUSTON,TX,29.7655,-95.3592,,0
77202,HOUSTON,TX,29.7625,-95.3616,P,0
77203,HOUSTON,TX,29.7634,-95.3627,P,0
77204,HOUSTON,TX,29.7221,-95.3419,U,4280
77205,HOUSTON,TX,29.9818,-95.3481,P,0
77206,HOUSTON,TX,29.7632,-95.3633,P,0
77207,HOUSTON,TX,29.7632,-95.3633,P,0
77208,HOUSTON,TX,29.7632,-95.3633,P,0
77210,HOUSTON,TX,29.7632,-95.3633,P,0
77212,HOUSTON,TX,29.7632,-95.3633,U,0
77213,HOUSTON,TX,29.7632,-95.3633,P,0
77215,HOUSTON,TX,29.7632,-95.3633,P,0
77216,HOUSTON,TX,29.7632,-95.3633,U,0
77217,HOUSTON,TX,29.7632,-95.3633,P,0
